1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 2 3 4 5
6 7 8 9 10
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
2 2 2 2 2
2 2 2 2 2
2 2 2 2 2
2 2 2 2 2
2 2 2 2 2
2 2 2 2 2
2 2 2 2 2
2 2 2 2 2
3 3 3 3 3
3 3 3 3 3
3 3 3 3 3
3 3 3 3 3
3 3 3 3 3
3 3 3 3 3
3 3 3 3 3
3 3 3 3 3
4 4 4 4 4
4 4 4 4 4
4 4 4 4 4
4 4 4 4 4
4 4 4 4 4
4 4 4 4 4
4 4 4 4 4
4 4 4 4 4
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
60 60 60 60 60
60 60 60 60 60
80 80 80 80 80
80 80 80 80 80
100 100 100 100 100
100 100 100 100 100
120 120 120 120 120
120 120 120 120 120
60 60 60 60 60
60 60 60 60 60
80 80 80 80 80
80 80 80 80 80
100 100 100 100 100
100 100 100 100 100
120 120 120 120 120
120 120 120 120 120
60 60 60 60 60
60 60 60 60 60
80 80 80 80 80
80 80 80 80 80
100 100 100 100 100
100 100 100 100 100
120 120 120 120 120
120 120 120 120 120
60 60 60 60 60
60 60 60 60 60
80 80 80 80 80
80 80 80 80 80
100 100 100 100 100
100 100 100 100 100
120 120 120 120 120
120 120 120 120 120
0.0008761594 0.0007290015 0.000798899 0.0008151341 0.0008191326
0.0007768354 0.0008488954 0.0008250354 0.0007337415 0.0007840012
0.0008344862 0.0007905806 0.0007754081 0.0008009934 0.0007742939
0.0008215111 0.0008193496 0.0008050992 0.0007852729 0.0007950091
0.0007864034 0.0007786477 0.0008071695 0.0008599736 0.0007938585
0.0008728124 0.000817939 0.0008147063 0.0008134898 0.0008066795
0.0007842038 0.0008327671 0.0007781684 0.0008270672 0.0008016249
0.000823753 0.0007654825 0.0008385451 0.0008191786 0.0008999557
0.0007463534 0.0007831174 0.0009500553 0.0008188333 0.0008236557
